name,religion_origin,religion_current,country,latitude,longitude,height_m,construction_start,construction_end,destruction_year,status,tallest_in_world,notes,source1,source2,source3
Great Mosque of Algiers (Djamaa el Djazaïr),Islamic,Islamic,Algeria,36.7347212,3.138562431,265,2012,2019,,standing,no,Tallest minaret in the world,https://en.wikipedia.org/wiki/Djamaa_el_Djaza%C3%AFr,,
Sagrada Família,Christian (Catholic),Christian (Catholic),Spain,41.40339416,2.174334338,172,1882,2026,,standing,no,Still under construction; will reach 172 m,https://en.wikipedia.org/wiki/Sagrada_Fam%C3%ADlia,,
Ulm Minster,Christian (Protestant),Christian (Protestant),Germany,48.39832562,9.992467223,161.5,1377,1890,,standing,no,Tallest church in the world today,https://en.wikipedia.org/wiki/Ulm_Minster,,
Lincoln Cathedral,Christian (Catholic),Christian (Anglican),United Kingdom,53.23438004,-0.53646239,160,1072,1311,1548,destroyed - collapse due to storm,yes,Central spire collapsed; height 160m,https://en.wikipedia.org/wiki/Lincoln_Cathedral,,
Lincoln Cathedral (1548 onwards),Christian (Catholic),Christian (Anglican),United Kingdom,53.23438004,-0.53646239,83,1549,1550,,standing,no,,https://en.wikipedia.org/wiki/Lincoln_Cathedral,,
"St. Olaf's Church, Tallinn",Christian (Catholic),Christian (Lutheran),Estonia,59.44133294,24.74754164,159,1267,1549,1625,destroyed - lighting and fire,yes,Height disputed 159m; tallest 1549=1625,https://medievalheritage.eu/en/main-page/heritage/estonia/tallinn-st-olafs-church-oleviste-kirik/,https://www.lonelyplanet.com/estonia/tallinn/old-town/attractions/st-olaf-s-church/a/poi-sig/1275608/1342792,"https://en.wikipedia.org/wiki/St._Olaf%27s_Church,_Tallinn"
"St. Olaf's Church, Tallinn (1628 onwards)",Christian (Catholic),Christian (Lutheran),Estonia,59.44133294,24.74754164,124,1626,1628,,standing,no,Height disputed 150â€“159 m; tallest 1549â€“1626,https://medievalheritage.eu/en/main-page/heritage/estonia/tallinn-st-olafs-church-oleviste-kirik/,https://www.lonelyplanet.com/estonia/tallinn/old-town/attractions/st-olaf-s-church/a/poi-sig/1275608/1342793,"https://en.wikipedia.org/wiki/St._Olaf%27s_Church,_Tallinn"
Basilica of Our Lady of Peace,Christian (Catholic),Christian (Catholic),Ivory Coast,6.811031681,-5.29700818,158,1985,1989,,standing,no,Tallest cathedral in Africa,https://en.wikipedia.org/wiki/Basilica_of_Our_Lady_of_Peace,,
Cologne Cathedral,Christian (Catholic),Christian (Catholic),Germany,50.94122347,6.958012268,157,1248,1880,,standing,no,Tallest building 1880-1884,https://en.wikipedia.org/wiki/Cologne_Cathedral,,
Beauvais Cathedral - St-Pierre,Christian (Catholic),Christian (Catholic),France,49.43248209,2.081154244,153,1225,1569,1573,destroyed - collapse,no,Unfinished; vaults collapsed; would have been tallest,https://en.wikipedia.org/wiki/Beauvais_Cathedral,https://www.mdpi.com/2571-9408/8/6/203,
