"name","religion_origin","religion_current","type","country","continent","latitude","longitude","height_m","construction_start","construction_end","destruction_year","construction_timeline","status","tallest_in_world","notes","source1","source2","source3","year","build_time","height_per_year","years_since_start","height_at_year"
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2580,20,7.33,0,0
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2579,20,7.33,1,7
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2578,20,7.33,2,15
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2577,20,7.33,3,22
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2576,20,7.33,4,29
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2575,20,7.33,5,37
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2574,20,7.33,6,44
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2573,20,7.33,7,51
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2572,20,7.33,8,59
"Great Pyramid of Giza","Ancient Egyptian","none","pyramid","Egypt","Africa",29.97906881,31.13422309,146.6,-2580,-2560,1303,"-2580:-2560:146.6;1304:1305:138.8","ruined","yes","Originally ~146.6 m; now ~138.8 m","https://en.wikipedia.org/wiki/Giza_pyramid_complex","https://www.nature.com/articles/s40494-020-0356-9","https://www.worldhistory.org/timeline/pyramid/",-2571,20,7.33,9,66
